word, pinyin, example
憧憬,chōng jǐng,我们满怀着对未来的美好憧憬。
踊跃,yǒng yuè,同学们在课堂上发言非常踊跃。
细腻,xì nì,这篇文章对人物心理描写得非常细腻。
防御,fáng yù,我们要筑起一道坚固的防御工事。
郑重,zhèng zhòng,他郑重地向老师递交了保证书。
慷慨,kāng kǎi,他为人慷慨，经常帮助有困难的人。
效率,xiào lǜ,我们需要提高工作效率。
爱戴,ài dài,大家非常爱戴这位老师。
安宁,ān níng,我们渴望生活安宁。
奥秘,ào mì,他在探索宇宙的奥秘。
毅力,yì lì,学习需要坚强的毅力。
包含,bāo hán,这句话包含深刻道理。
保障,bǎo zhàng,法律保障我们的权利。
抱负,bào fù,少年要有远大的抱负。
本领,běn lǐng,他练就了一身好本领。
本质,běn zhì,我们要看清事物本质。
毕生,bì shēng,他贡献了毕生精力。
辨别,biàn bié,我们要辨别是非黑白。
变迁,biàn qiān,这里见证了时代变迁。
标本,biāo běn,实验室里有很多标本。
标志,biāo zhì,红灯是停止的标志。
波澜,bō lán,大海掀起了巨大波澜。
博大,bó dà,中华文化博大精深。
薄弱,bó ruò,他的基础比较薄弱。
捕捉,bǔ zhuō,猫在捕捉草丛的老鼠。
灿烂,càn làn,阳光格外灿烂明媚。
策略,cè lüè,我们要讲究学习策略。
测量,cè liáng,老师在测量操场长度。
曾几何时,céng jǐ hé shí,曾几何时这里是荒地。
层次,céng cì,这篇文章很有层次感。
阐述,chǎn shù,他阐述了自己的观点。
昌盛,chāng shèng,祝愿祖国繁荣昌盛。
长途,cháng tú,我们要坐长途汽车。
常务,cháng wù,他是学校的常务理事。
场合,chǎng hé,这种场合要保持安静。
场所,chǎng suǒ,这里是公共运动场所。
畅通,chàng tōng,这里的道路非常畅通。
倡议,chàng yì,老师倡议大家多种树。
钞票,chāo piào,请收好你的钞票。
超越,chāo yuè,你要不断超越自我。
朝气,zhāo qì,年轻人富有朝气。
称职,chèn zhí,他是一个称职的班长。
成本,chéng běn,我们要节约生产成本。
成效,chéng xiào,这种方法很有成效。
崇高,chóng gāo,他有着崇高的理想。
抽象,chōu xiàng,这个数学概念很抽象。
筹备,chóu bèi,我们在筹备校庆活动。
储备,chǔ bèi,我们要储备粮食。
处境,chǔ jìng,他现在的处境很困难。
传播,chuán bō,花粉靠蜜蜂传播。
传统,chuán tǒng,我们要继承优良传统。
慈善,cí shàn,他热心于慈善事业。
词汇,cí huì,我们要积累更多词汇。
次序,cì xù,大家按次序排队。
从此,cóng cǐ,从此他变得很勤奋。
从而,cóng ér,他努力学习从而进步。
脆弱,cuì ruò,他的心比较脆弱。
措施,cuò shī,学校采取了安全措施。
打量,dǎ liang,他上下打量着陌生人。
代价,dài jià,成功的背后有代价。
担当,dān dāng,我们要有社会担当。
诞生,dàn shēng,新的纪录诞生了。
当初,dāng chū,早知当初何必如此。
当前,dāng qián,当前任务是完成作业。
导致,dǎo zhì,粗心导致他犯了错。
得天独厚,dé tiān dú hòu,这里有得天独厚的环境。
灯火辉煌,dēng huǒ huī huáng,夜晚的城市灯火辉煌。
地势,dì shì,这里的地势非常平坦。
递增,dì zēng,学校人数逐年递增。
颠簸,diān bǒ,汽车在山路上颠簸。
典型,diǎn xíng,这是一个典型的例子。
奠定,diàn dìng,努力奠定了成功基础。
雕刻,diāo kè,他在木头上雕刻花纹。
调查,diào chá,我们要去调查真相。
调解,tiáo jiě,老师在调解同学矛盾。
定力,dìng lì,做事情要有定力。
动力,dòng lì,兴趣是学习的动力。
动荡,dòng dàng,时局变得非常动荡。
陡峭,dǒu qiào,这座山非常陡峭。
独特,dú tè,他的设计非常独特。
对照,duì zhào,请对照课本找答案。
对应,duì yìng,数字和颜色相对应。
顿时,dùn shí,教室里顿时安静了。
恩德,ēn dé,我们要报答父母恩德。
儿戏,ér xì,学习不是儿戏。
发扬,fā yáng,发扬艰苦奋斗精神。
繁衍,fán yǎn,生物在不断繁衍。
反馈,fǎn kuì,我们要听取学生反馈。
范围,fàn wéi,考试范围已经确定。
方案,fāng àn,我们要制定活动方案。
防范,fáng fàn,我们要防范森林火灾。
仿佛,fǎng fú,她仿佛一朵花。
非凡,fēi fán,他有非凡的创造力。
肥料,féi liào,庄稼需要更多肥料。
沸腾,fèi téng,水已经烧开沸腾了。
分布,fēn bù,这里分布着很多森林。
分解,fēn jiě,我们要分解学习任务。
分析,fēn xī,我们要分析失败原因。
风暴,fēng bào,海上起了大风暴。
风度,fēng dù,他说话很有风度。
风气,fēng qì,学校风气非常正。
疯狂,fēng kuáng,他疯狂地跑向终点。
逢年过节,féng nián guò jié,逢年过节这里很热闹。
幅度,fú dù,气温下降幅度很大。
福利,fú lì,公司提供了很多福利。
赋予,fù yǔ,生命赋予我们希望。
副标题,fù biāo tí,请给文章加副标题。
改革,gǎi改革,改革开放让国家富强。
概率,gài lǜ,今天下雨概率很大。
感触,gǎn chù,看电影让他有感触。
纲领,gāng lǐng,这是我们的行动纲领。
岗位,gǎng wèi,我们要坚守岗位。
高超,gāo chāo,他的技术非常高超。
高尚,gāo shàng,他是个高尚的人。
稿件,gǎo jiàn,他在整理新闻稿件。
隔阂,gé hé,我们要消除彼此隔阂。
格局,gé jú,他的眼界和格局很大。
耕耘,gēng yún,一分耕耘一分收获。
工程,gōng chéng,这座工程非常宏大。
功夫,gōng fu,只要功夫深铁杵磨成针。
共鸣,gòng míng,他的演说引起共鸣。
构思,gòu sī,他在构思这篇小说。
顾问,gù wèn,他是我们的技术顾问。
观察,guān chá,我们要仔细观察生物。
官方,guān fāng,这是官方发布的消息。
观摩,guān mó,我们去参观观摩比赛。
规范,guī fàn,写字动作要规范。
规划,guī huà,我们要规划未来生活。
规模,guī mó,这次比赛规模很大。
规律,guī lǜ,我们要发现自然规律。
轨迹,guǐ jì,流星划过美妙轨迹。
归属,guī shǔ,他找到了内心归属。
果然,guǒ rán,天气果然变晴了。
过滤,guò lǜ,我们需要过滤脏水。
海洋,hǎi yáng,海洋里有很多生物。
汗水,hàn shuǐ,成功离不开汗水。
行列,háng liè,他加入了跑步行列。
豪迈,háo mài,他的誓言非常豪迈。
浩瀚,hào hàn,浩瀚的宇宙很神秘。
和蔼,hé ǎi,老爷爷性格很和蔼。
核心,hé xīn,这是问题的核心。
衡量,héng liáng,努力是衡量的标准。
宏伟,hóng wěi,这座建筑很宏伟。
后盾,hòu dùn,祖国是我们的后盾。
忽略,hū lüè,我们不能忽略细节。
呼吁,hū yù,大家呼吁保护环境。
蝴蝶,hú dié,蝴蝶在花丛飞舞。
华丽,huá lì,她的衣服很华丽。
划分,huà fēn,老师在划分小组。
怀念,huái niàn,我非常怀念童年。
欢乐,huān lè,校园里充满欢乐。
幻觉,huàn jué,那只是你的幻觉。
皇帝,huáng dì,古代有许多皇帝。
荒凉,huāng liáng,这里以前很荒凉。
挥霍,huī huò,我们不能挥霍时间。
辉煌,huī huáng,他创造了辉煌成绩。
机遇,jī yù,我们要抓住发展机遇。
激励,jī lì,名言激励我前进。
激情,jī qíng,他对生活充满激情。
极致,jí zhì,他把事情做到极致。
集成,jí chéng,这是集成的电路。
级别,jí bié,他的比赛级别很高。
疾病,jí bìng,我们要预防疾病。
既然,jì rán,既然来了就多坐会儿。
纪律,jì lǜ,我们要遵守课堂纪律。
技巧,jì qiǎo,这需要一点技巧。
记载,jì zǎi,书上记载了历史。
见解,jiàn jiě,他提出了独特见解。
健全,jiàn quán,我们要健全法律制度。
渐渐,jiàn jiàn,天色渐渐暗了下来。
鉴别,jiàn bié,我们要鉴别文物真伪。
奖赏,jiǎng shǎng,他得到了老师奖赏。
降临,jiàng lín,夜幕已经降临了。
交叉,jiāo chā,两条路在这里交叉。
焦点,jiāo diǎn,他是全场的焦点。
狡猾,jiǎo huá,狐狸非常狡猾。
阶段,jiē duàn,这是学习的关键阶段。
节制,jié zhì,饮食要有所节制。
结构,jié gòu,这座房子结构牢固。
截止,jié zhǐ,报名今天截止。
竭力,jié lì,他竭力完成任务。
谨慎,jǐn shèn,说话要谨慎小心。
进取,jìn qǔ,我们要有进取心。
精华,jīng huá,这是书中的精华。
精通,jīng tōng,他精通多国语言。
精确,jīng què,这个数据很精确。
境界,jìng jiè,他的思想境界很高。
竞赛,jìng sài,我们要参加数学竞赛。
就职,jiù zhí,他今天正式就职。
究竟,jiū jìng,你究竟要去哪里。
救援,jiù yuán,救援队已经出发了。
鞠躬,jū gōng,他向观众鞠躬敬礼。
具体,jù tǐ,请说明具体原因。
具备,jù bèi,他具备成功条件。
剧烈,jù liè,运动后心跳剧烈。
倔强,jué jiàng,这个孩子很倔强。
崛起,jué qǐ,新城市正在崛起。
决议,jué yì,会议通过了决议。
决策,jué cè,我们要科学决策。
绝望,jué wàng,他从未感到绝望。
觉悟,jué wù,他的觉悟很高。
军队,jūn duì,军队在保卫国家。
开辟,kāi pì,我们要开辟新航线。
勘探,kān tàn,他们在勘探矿藏。
慷慨,kāng kǎi,他为人非常慷慨。
考证,kǎo zhèng,他在考证历史。
克服,kè fú,我们要克服困难。
刻苦,kè kǔ,他学习非常刻苦。
客观,kè guān,评价要客观公正。
宽容,kuān róng,我们要宽容别人。
款待,kuǎn dài,主人热情款待我们。
扩展,kuò zhǎn,我们要扩展知识面。
阔气,kuò qì,他说话很阔气。
懒惰,lǎn duò,懒惰会让人落后。
浪漫,làng màn,这个故事很浪漫。
乐观,lè guān,我们要乐观面对生活。
历程,lì chéng,这是成长的历程。
利润,lì rùn,商店获得了很多利润。
利益,lì yì,我们要维护国家利益。
良心,liáng xīn,做事要对得起良心。
粮食,liáng shi,我们要节约粮食。
辽阔,liáo kuò,草原非常辽阔。
崇拜,chóng bài,我很崇拜这位英雄。